bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
5min_time,2024-01-04,15,2024-01-04 10:45:00,2024-01-04 10:49:00,3334.39,3337.55,3334.39,3337.44,167031900.0,2793766600.0,5,False
5min_time,2024-01-04,16,2024-01-04 10:50:00,2024-01-04 10:54:00,3336.75,3337.06,3335.75,3337.06,155990200.0,2433837300.0,5,False
5min_time,2024-01-04,17,2024-01-04 10:55:00,2024-01-04 10:59:00,3335.32,3335.71,3329.66,3329.66,227867300.0,3361369600.0,5,False
5min_time,2024-01-04,18,2024-01-04 11:00:00,2024-01-04 11:04:00,3330.64,3333.06,3330.64,3333.06,168424600.0,2633616100.0,5,False
5min_time,2024-01-04,19,2024-01-04 11:05:00,2024-01-04 11:09:00,3333.87,3333.87,3330.62,3330.62,129567400.0,2239807800.0,5,False
5min_time,2024-01-04,20,2024-01-04 11:10:00,2024-01-04 11:14:00,3332.63,3332.63,3330.64,3331.09,147371700.0,2439599700.0,5,False
5min_time,2024-01-04,21,2024-01-04 11:15:00,2024-01-04 11:19:00,3331.25,3334.36,3331.25,3332.32,154502100.0,2475380600.0,5,False
5min_time,2024-01-04,22,2024-01-04 11:20:00,2024-01-04 11:24:00,3333.49,3333.49,3327.19,3327.19,177166700.0,2785156200.0,5,False
5min_time,2024-01-04,23,2024-01-04 11:25:00,2024-01-04 11:29:00,3325.35,3330.92,3325.35,3330.71,212661000.0,3018323200.0,5,False
5min_time,2024-01-04,24,2024-01-04 11:30:00,2024-01-04 13:03:00,3330.85,3330.85,3329.26,3330.75,154351100.0,2382244100.0,5,False
5min_time,2024-01-04,25,2024-01-04 13:04:00,2024-01-04 13:08:00,3332.98,3333.69,3329.7,3329.7,176947300.0,2332483400.0,5,False
5min_time,2024-01-04,26,2024-01-04 13:09:00,2024-01-04 13:13:00,3329.79,3331.3,3329.79,3330.71,143783200.0,2241795200.0,5,False
5min_time,2024-01-04,27,2024-01-04 13:14:00,2024-01-04 13:18:00,3332.23,3333.89,3332.23,3333.89,130907400.0,2054297500.0,5,False
5min_time,2024-01-04,28,2024-01-04 13:19:00,2024-01-04 13:23:00,3334.57,3335.22,3333.36,3333.36,156281500.0,2485362700.0,5,False
5min_time,2024-01-04,29,2024-01-04 13:24:00,2024-01-04 13:28:00,3332.66,3333.18,3332.21,3333.18,154144200.0,2264158500.0,5,False
5min_time,2024-01-04,30,2024-01-04 13:29:00,2024-01-04 13:33:00,3331.69,3332.74,3330.82,3331.13,145029800.0,2360229600.0,5,False
5min_time,2024-01-04,31,2024-01-04 13:34:00,2024-01-04 13:38:00,3331.11,3331.34,3330.78,3330.78,127873700.0,2237229800.0,5,False
5min_time,2024-01-04,32,2024-01-04 13:39:00,2024-01-04 13:43:00,3331.43,3333.01,3331.43,3333.01,131728600.0,2192407000.0,5,False
5min_time,2024-01-04,33,2024-01-04 13:44:00,2024-01-04 13:48:00,3333.12,3333.12,3330.31,3330.31,157272800.0,2430638700.0,5,False
5min_time,2024-01-04,34,2024-01-04 13:49:00,2024-01-04 13:53:00,3329.08,3330.58,3328.08,3330.14,187143500.0,2708830600.0,5,False
