bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
turnover,2024-01-03,6,2024-01-03 09:47:00,2024-01-03 09:50:00,3385.4,3389.06,3385.38,3389.06,325780200.0,4576069500.0,4,False
turnover,2024-01-03,7,2024-01-03 09:51:00,2024-01-03 09:54:00,3387.51,3390.52,3387.51,3388.85,249208900.0,3843968200.0,4,False
turnover,2024-01-03,8,2024-01-03 09:55:00,2024-01-03 09:58:00,3387.56,3387.56,3383.98,3383.98,248484700.0,3939150000.0,4,False
turnover,2024-01-03,9,2024-01-03 09:59:00,2024-01-03 10:02:00,3383.98,3385.51,3382.14,3382.14,264587800.0,4079213300.0,4,False
turnover,2024-01-03,10,2024-01-03 10:03:00,2024-01-03 10:06:00,3382.07,3383.66,3382.07,3382.35,220315700.0,3931807800.0,4,False
turnover,2024-01-03,11,2024-01-03 10:07:00,2024-01-03 10:10:00,3383.39,3383.39,3378.22,3378.22,332623000.0,4413607700.0,4,False
turnover,2024-01-03,12,2024-01-03 10:11:00,2024-01-03 10:15:00,3377.41,3377.41,3376.06,3376.06,253682300.0,4303327400.0,5,False
turnover,2024-01-03,13,2024-01-03 10:16:00,2024-01-03 10:20:00,3373.9,3374.55,3373.78,3373.78,250892500.0,3817229800.0,5,False
turnover,2024-01-03,14,2024-01-03 10:21:00,2024-01-03 10:27:00,3374.36,3377.58,3374.36,3377.13,264041500.0,4275757600.0,7,False
turnover,2024-01-03,15,2024-01-03 10:28:00,2024-01-03 10:34:00,3377.69,3380.25,3377.69,3380.25,247232600.0,3927113300.0,7,False
turnover,2024-01-03,16,2024-01-03 10:35:00,2024-01-03 10:41:00,3378.35,3378.35,3376.46,3376.97,225607500.0,3925921500.0,7,False
turnover,2024-01-03,17,2024-01-03 10:42:00,2024-01-03 10:49:00,3377.35,3377.75,3374.83,3377.75,258997900.0,4163411700.0,8,False
turnover,2024-01-03,18,2024-01-03 10:50:00,2024-01-03 10:58:00,3376.45,3380.1,3376.45,3380.1,288310800.0,4371930400.0,9,False
turnover,2024-01-03,19,2024-01-03 10:59:00,2024-01-03 11:05:00,3379.6,3379.62,3376.45,3376.57,305310300.0,3929357000.0,7,False
turnover,2024-01-03,20,2024-01-03 11:06:00,2024-01-03 11:12:00,3376.5,3376.61,3374.29,3374.29,288299300.0,4159427200.0,7,False
turnover,2024-01-03,21,2024-01-03 11:13:00,2024-01-03 11:18:00,3373.27,3374.53,3371.73,3371.73,242907100.0,3873347000.0,6,False
turnover,2024-01-03,22,2024-01-03 11:19:00,2024-01-03 11:25:00,3371.17,3373.24,3369.45,3369.78,279228300.0,4006990200.0,7,False
turnover,2024-01-03,23,2024-01-03 11:26:00,2024-01-03 13:01:00,3369.43,3369.88,3367.63,3367.63,270608000.0,4009904500.0,7,False
turnover,2024-01-03,24,2024-01-03 13:02:00,2024-01-03 13:08:00,3367.82,3367.82,3364.09,3364.86,249654100.0,4220579600.0,7,False
turnover,2024-01-03,25,2024-01-03 13:09:00,2024-01-03 13:16:00,3366.1,3367.71,3363.8,3363.8,265081700.0,3984471700.0,8,False
turnover,2024-01-03,26,2024-01-03 13:17:00,2024-01-03 13:24:00,3366.02,3366.02,3364.36,3364.85,249911700.0,3961305400.0,8,False
turnover,2024-01-03,27,2024-01-03 13:25:00,2024-01-03 13:32:00,3364.39,3366.52,3363.69,3363.75,244537800.0,4025438400.0,8,False
turnover,2024-01-03,28,2024-01-03 13:33:00,2024-01-03 13:39:00,3364.94,3371.92,3364.94,3367.12,258233600.0,4084435000.0,7,False
turnover,2024-01-03,29,2024-01-03 13:40:00,2024-01-03 13:48:00,3366.91,3366.91,3363.32,3365.1,240200000.0,3980199000.0,9,False
turnover,2024-01-03,30,2024-01-03 13:49:00,2024-01-03 13:57:00,3364.82,3365.25,3362.67,3364.06,232286900.0,3879326800.0,9,False
turnover,2024-01-03,31,2024-01-03 13:58:00,2024-01-03 14:06:00,3365.0,3367.63,3363.17,3367.34,287162100.0,4035244100.0,9,False
turnover,2024-01-03,32,2024-01-03 14:07:00,2024-01-03 14:14:00,3367.91,3372.51,3367.8,3369.51,238867800.0,3998975800.0,8,False
turnover,2024-01-03,33,2024-01-03 14:15:00,2024-01-03 14:22:00,3370.6,3377.74,3369.63,3377.37,270596900.0,4354598200.0,8,False
turnover,2024-01-03,34,2024-01-03 14:23:00,2024-01-03 14:28:00,3375.8,3381.19,3375.71,3380.43,266525100.0,4249765900.0,6,False
turnover,2024-01-03,35,2024-01-03 14:29:00,2024-01-03 14:34:00,3380.26,3383.67,3378.71,3378.71,267430800.0,3905045000.0,6,False
